–’√˚,age(year),1999,2000,2001,2002,2003,2004,2005,2006,2007,2008
’≈»˝,53(2002),,,,83.98333333,74.3,75.15,74.21666667,74.25,,
¿ÓÀƒ,52(2001),,,82.66666667,80.03333333,88.11666667,80.93333333,88.1,,,
ÕıŒÂ,51(2001),,,89.38333333,89.23333333,89.71666667,88.68333333,97.55,85.05,,
≥¬æ∞√˜,53(2000),,,98.45,101.5833333,109.05,100.05,106.1,,,
¡÷‘Û”Ó,51(2000),,76.23333333,71.28333333,76.86666667,68.53333333,,82.01666667,83.78333333,,
Õı∫∆–˘,54(1999),,72.86666667,,,77.5,80.93333333,,78.31666667,,
¿Ó–«≥Ω,51(2001),,,96.26666667,99.05,104.3833333,107.9,100.5,,,
’≈≤©‘∂,52(1999),,,99.5,104.1666667,102.7333333,,111.0833333,,,
¡ıæ˛≥œ,54(1999),,96.48333333,94.18333333,94.98333333,113.2666667,,,105.0333333,,
’‘≥–”Ó,52(1999),,,121,107.35,110.6666667,118.05,,131,,
ª∆Ë˜∫Ω,52(2002),,,,79.86666667,83.6,87.13333333,97.75,98.91666667,,
÷‹ﬁ»≥Ω,51(1999),,,67.5,68.45,70.18333333,80.93333333,71.78333333,,,
Œ‚—Â¡ÿ,53(2002),,,,77.43333333,82.1,80.18333333,79.5,91.9,,
¬ÌºŒ ˜,53(2000),,98.4,102.5833333,97.75,94.56666667,89.95,96.21666667,97.48333333,,
∏ﬂÓ£‘Û,52(2001),,,96.8,88.36666667,100.1833333,96.51666667,98.43333333,,,
ÀÔ∆Ù√˙,52(2000),,98.3,92.31666667,89.85,96.68333333,,92.35,,,
÷ÏÍ≈∫‚,50(1999),,,78.41666667,110.2333333,91.78333333,123.9833333,,95.86666667,,
∫˙æ∏‘∂,50(1999),,,96.88333333,106.1166667,99.46666667,,103.9166667,,,
÷£–Ò“¢,52(1999),,,81.9,86.96666667,79.86666667,,83.86666667,,,
∑Î“‡∫„,50(1999),,,104.1166667,97.48333333,105.2,112.8833333,120.4666667,,,
À’ÕÒ«Á,52(1999),,83,83.53333333,82.11666667,85.95,92.4,89.58333333,,,
Ω≠»Ù∫≠,50(1999),,,83.23333333,88.06666667,84.53333333,92.18333333,91.66666667,,,
ÀŒº—‚˘,51(1999),,,102.1333333,101.0833333,98.16666667,106.3333333,105,110.9833333,,
Ã∆”ÍÕ©,54(1999),,99.08333333,103.9333333,103.8166667,105.9166667,111.1666667,112.9666667,,,
–Ì∞≤—≈,51(2000),,98.43333333,109.8333333,,,105.7333333,98.93333333,94.48333333,,
∫´„Â—©,50(1999),,83.41666667,82.71666667,84.6,87.35,87.76666667,,,,
µÀ–¿‘√,50(2000),,91.96666667,92.3,92.46666667,102.5,105.5333333,106.1333333,,,
≈Ì”ÔÕ©,50(2001),,,72.15,76.13333333,77.91666667,75.1,74.76666667,,,
¬¿Àº—˛,54(1999),,62.71666667,62.46666667,61.51666667,63.28333333,63.98333333,64.36666667,,,
ΩØ È—˛,53(1999),,,62.28333333,63.63333333,65.96666667,66.15,73.48333333,67.8,,
≤Ã«ﬂÊ•,52(2000),,77.31666667,88,80.3,82.8,84.31666667,,,,
≈À“’ˆ≠,50(1999),,76.06666667,75.2,79.53333333,81.58333333,81.58333333,,80.93333333,,
‘¨ Ê»ª,54(1999),,,90.06666667,,85.71666667,83.76666667,83,,,
”⁄÷™œƒ,52(1999),,,70.53333333,74.01666667,73.03333333,80.76666667,80.76666667,,,
∂≠¿÷›Ê,52(1999),,85.75,85.01666667,83.91666667,90.03333333,,89.96666667,87.15,,
œÙ‹∆»·,51(1999),,,105.75,103.0166667,,105.4166667,115.7666667,,,
